id_transaccion,fecha_venta,fecha_envio,id_cliente,nombre_cliente,apellido_cliente,email_cliente,pais_cliente,genero_cliente,estado_civil_cliente,id_producto,codigo_producto,nombre_producto,categoria_producto,subcategoria_producto,costo_fabricacion,cantidad,precio_unitario,monto_total,metodo_pago
TRX-105093,20251022,20251030,CLI-0574,Diego,Suarez Flores,diegosuarez@hotmail.com,CO,Female,Soltero,PRD-068,SKU-HOG-068,Producto Decoracion 68,Hogar,Decoracion,145.32,7,292.69,2048.83,Efectivo
TRX-104565,20251117,20251125,CLI-0288,Marta,Gonzalez Suarez,marta.gonzalez@empresa.com,Colombia,M,Casado,PRD-006,SKU-ELE-006,Producto Audio 6,Electronica,Audio,150.59,2,291.79,583.58,Efectivo
TRX-103443,20250505,20250515,CLI-0244,Fernando Carlos,Garcia Ramirez,fernandogarcia@empresa.com,USA,F,C,PRD-032,SKU-ELE-032,Producto Smartphones 32,Electronica,Smartphones,47.74,9,70.28,632.52,Efectivo
TRX-106915,20250131,20250205,CLI-0518,Daniel Rosa,Lopez Gonzalez,dlopez@outlook.com,Espana,Female,Soltero,PRD-034,SKU-DEP-034,Producto Ropa 34,Deporte,Ropa,108.5,14,248.42,3477.88,Tarjeta
TRX-106800,20250504,20250508,CLI-0469,Juan Elena,Lopez Ruiz,jlopez@yahoo.com,Estados Unidos,Male,C,PRD-008,SKU-HOG-008,Producto Decoracion 8,Hogar,Decoracion,73.75,10,114.59,1145.9,Efectivo
TRX-103600,20260831,,CLI-0403,Laura Fernando,Lopez Diaz,laura.lopez@gmail.com,USA,F,Soltero,PRD-035,SKU-HOG-035,Producto Muebles 35,Hogar,Muebles,158.66,8,282.94,2263.52,Tarjeta
TRX-108635,20260530,20260605,CLI-0546,Ana,Torres Diaz,anatorres@hotmail.com,US,M,C,PRD-018,SKU-ELE-018,Producto Audio 18,Electronica,Audio,167.74,4,275.35,1101.4,Tarjeta
TRX-106886,0,,CLI-0593,Maria,Vargas Ramirez,mvargas@outlook.com,,n/a,C,PRD-023,SKU-ELE-023,Producto Laptops 23,Electronica,Laptops,136.95,9,237.27,2135.43,Efectivo
TRX-105470,20250217,20250227,CLI-0531,Maria,Sanchez Martinez,mariasanchez70@hotmail.com,Espana,Female,S,PRD-050,SKU-HOG-050,Producto Decoracion 50,Hogar,Decoracion,130.41,1,282.04,282.04,Paypal
TRX-104037,20250122,20250128,CLI-0478,Jorge Maria,Sanchez Ramirez,jorgesanchez@gmail.com,ES,M,Casado,PRD-021,SKU-HOG-021,Producto Iluminacion 21,Hogar,Iluminacion,12.73,1,24.8,24.8,Transferencia
TRX-108886,20260401,20260402,CLI-0046,Marta,Gonzalez Lopez,martagonzalez78@empresa.com,ES,Male,S,PRD-053,SKU-ELE-053,Producto Smartphones 53,Electronica,Smartphones,151.32,12,261.8,3141.6,Transferencia
TRX-108865,20260522,20260528,CLI-0541,Javier Luis,Gomez Ruiz,javiergomez@gmail.com,Estados Unidos,M,Casado,PRD-047,SKU-HOG-047,Producto Iluminacion 47,Hogar,Iluminacion,190.85,2,476.94,953.88,Paypal
TRX-101240,20260620,20260628,CLI-0595,Rosa Jorge,Gomez Romero,rosagomez@hotmail.com,MX,Female,S,PRD-003,SKU-DEP-003,Producto Ropa 3,Deporte,Ropa,71.68,1,107.12,107.12,Efectivo
TRX-109063,18/06/2025,20250619,CLI-0382,Sofia Juan,Flores Cruz,sofiaflores@outlook.com,ES,M,S,PRD-048,SKU-HOG-048,Producto Muebles 48,Hogar,Muebles,84.27,8,180.1,0.0,Tarjeta
TRX-103981,20251105,20251114,CLI-0139,Lucia,Gonzalez Rodriguez,lucia.gonzalez@empresa.com,Espana,n/a,Soltero,PRD-023,SKU-ELE-023,Producto Laptops 23,Electronica,Laptops,136.95,-2,209.73,-419.46,Transferencia
TRX-102709,20260210,20260214,CLI-0175,Rosa,Gonzalez Vargas,rgonzalez@empresa.com,Estados Unidos,n/a,S,PRD-053,SKU-ELE-053,Producto Smartphones 53,Electronica,Smartphones,151.32,13,254.77,3312.01,Transferencia
TRX-105227,04/11/2025,20251111,CLI-0528,Juan,Cruz Flores,juancruz82@yahoo.com,Colombia,n/a,Soltero,PRD-040,SKU-ELE-040,Producto Laptops 40,Electronica,Laptops,82.67,13,125.09,1626.17,Paypal
TRX-109578,20260426,20260428,CLI-0061,Ana Lucia,Flores Sanchez,aflores@gmail.com,ES,F,Casado,PRD-029,SKU-ELE-029,Producto Laptops 29,Electronica,Laptops,191.94,6,336.1,2016.6,Transferencia
TRX-101191,20251229,20260105,CLI-0489,Luis Juan,Diaz Perez,luisdiaz89@outlook.com,MX,Female,Soltero,PRD-038,SKU-HOG-038,Producto Decoracion 38,Hogar,Decoracion,68.83,3,150.05,450.15,Tarjeta
TRX-107559,20260215,20260222,CLI-0471,Ana,Perez Flores,anaperez@outlook.com,Mexico,F,S,PRD-044,SKU-DEP-044,Producto Accesorios 44,Deporte,Accesorios,90.05,7,121.85,852.95,Paypal
TRX-106284,20250824,20250903,CLI-0085,Juan Daniel,Rodriguez Ramirez,juanrodriguez95@yahoo.com,USA,Male,S,PRD-063,SKU-ELE-063,Producto Audio 63,Electronica,Audio,145.22,8,284.5,2276.0,Transferencia
TRX-100319,20260414,20260415,CLI-0583,Sofia,Sanchez Cruz,sofiasanchez@outlook.com,Colombia,Female,Soltero,PRD-012,SKU-HOG-012,Producto Muebles 12,Hogar,Muebles,14.17,9,21.59,194.31,Paypal
TRX-103630,14/09/2025,20250917,CLI-0268,Rosa Marta,Lopez Martinez,rlopez@yahoo.com,Colombia,F,Soltero,PRD-053,SKU-ELE-053,Producto Smartphones 53,Electronica,Smartphones,151.32,6,264.88,1589.28,Efectivo
TRX-109227,25/07/2026,20260802,CLI-0272,Pedro Sofia,Alvarez Gonzalez,palvarez@hotmail.com,Espana,n/a,Soltero,PRD-059,SKU-ELE-059,Producto Audio 59,Electronica,Audio,21.84,7,53.19,372.33,Tarjeta
TRX-106575,20260621,20260628,CLI-0345,Fernando,Alvarez Torres,fernando.alvarez@empresa.com,,F,C,PRD-072,SKU-DEP-072,Producto Calzado 72,Deporte,Calzado,107.98,10,208.25,2082.5,Transferencia
TRX-105863,20260807,,CLI-0097,Carmen,Vargas Ramirez,carmenvargas88@outlook.com,US,F,Soltero,PRD-077,SKU-HOG-077,Producto Decoracion 77,Hogar,Decoracion,30.1,5,49.97,249.85,Tarjeta
TRX-104545,20250403,20250411,CLI-0055,Ana,Torres Gonzalez,atorres@gmail.com,MX,Male,S,PRD-036,SKU-DEP-036,Producto Accesorios 36,Deporte,Accesorios,92.56,5,117.95,589.75,Transferencia
TRX-106841,20251120,20251130,CLI-0075,Javier Alejandro,Ramirez Suarez,javierramirez86@yahoo.com,,F,C,PRD-013,SKU-ELE-013,Producto Smartphones 13,Electronica,Smartphones,105.79,8,185.53,1484.24,Paypal
TRX-109495,24/03/2025,20250402,CLI-0066,Sofia,Ruiz Perez,sofiaruiz83@empresa.com,Estados Unidos,M,Soltero,PRD-056,SKU-ELE-056,Producto Smartphones 56,Electronica,Smartphones,9.2,4,21.54,86.16,Transferencia
TRX-105803,20260820,20260828,CLI-0272,Pedro Sofia,Alvarez Gonzalez,palvarez@hotmail.com,Espana,n/a,Soltero,PRD-048,SKU-HOG-048,Producto Muebles 48,Hogar,Muebles,84.27,8,108.71,869.68,Transferencia
TRX-104709,20250927,20250928,CLI-0500,Pedro,Ramirez Flores,pedroramirez@outlook.com,USA,F,S,PRD-010,SKU-ELE-010,Producto Laptops 10,Electronica,Laptops,76.71,12,132.76,1593.12,Tarjeta
TRX-108870,20260421,20260422,CLI-0084,Marta Daniel,Gomez Lopez,martagomez@gmail.com,Espana,Male,S,PRD-018,SKU-ELE-018,Producto Audio 18,Electronica,Audio,167.74,2,406.37,812.74,Tarjeta
TRX-102320,20250814,20250818,CLI-0545,Rosa,Romero Suarez,rosaromero@hotmail.com,Mexico,F,Soltero,PRD-057,SKU-HOG-057,Producto Iluminacion 57,Hogar,Iluminacion,36.11,6,52.38,314.28,Efectivo
TRX-107192,20250202,20250203,CLI-0319,Sofia Maria,Perez Ruiz,sofiaperez85@outlook.com,Estados Unidos,M,C,PRD-008,SKU-HOG-008,Producto Decoracion 8,Hogar,Decoracion,73.75,2,92.42,184.84,Paypal
TRX-105671,20250612,20250621,CLI-0116,Maria,Rodriguez Gomez,mrodriguez@empresa.com,Mexico,M,Soltero,PRD-027,SKU-HOG-027,Producto Muebles 27,Hogar,Muebles,29.13,5,37.52,187.6,Tarjeta
TRX-102411,20250104,20250109,CLI-0039,Carlos Jorge,Flores Gomez,carlosflores75@hotmail.com,ES,n/a,Soltero,PRD-073,SKU-ELE-073,Producto Smartphones 73,Electronica,Smartphones,194.69,14,426.4,5969.6,Efectivo
TRX-104316,08/09/2025,20250916,CLI-0445,Carlos,Romero Perez,cromero@gmail.com,ES,F,Casado,PRD-053,SKU-ELE-053,Producto Smartphones 53,Electronica,Smartphones,151.32,11,207.77,2285.47,Efectivo
TRX-103961,20260824,,CLI-0342,Alejandro,Romero Rodriguez,aromero@hotmail.com,CO,Female,Casado,PRD-010,SKU-ELE-010,Producto Laptops 10,Electronica,Laptops,76.71,3,176.4,529.2,Transferencia
TRX-101618,20251209,20251214,CLI-0595,Rosa Jorge,Gomez Romero,rosagomez@hotmail.com,MX,Female,S,PRD-035,SKU-HOG-035,Producto Muebles 35,Hogar,Muebles,158.66,7,357.77,2504.39,Efectivo
TRX-106032,22/06/2026,20260630,CLI-0490,Javier,Perez Lopez,javierperez99@hotmail.com,Mexico,Male,Soltero,PRD-077,SKU-HOG-077,Producto Decoracion 77,Hogar,Decoracion,30.1,3,59.31,177.93,Paypal
TRX-106102,26/04/2025,20250428,CLI-0417,Luis Diego,Diaz Gonzalez,ldiaz@yahoo.com,USA,Male,Soltero,PRD-058,SKU-DEP-058,Producto Calzado 58,Deporte,Calzado,91.03,6,174.77,1048.62,Paypal
TRX-109138,20250730,20250804,CLI-0099,Diego Javier,Rodriguez Suarez,diegorodriguez77@outlook.com,Estados Unidos,Male,S,PRD-038,SKU-HOG-038,Producto Decoracion 38,Hogar,Decoracion,68.83,11,106.34,1169.74,Transferencia
TRX-103000,20251128,20251202,CLI-0121,Fernando Carlos,Gomez Romero,fernandogomez@empresa.com,Mexico,F,Casado,PRD-043,SKU-DEP-043,Producto Accesorios 43,Deporte,Accesorios,80.2,13,120.89,1571.57,Tarjeta
TRX-104359,20250829,20250904,CLI-0210,Maria Marta,Perez Ruiz,maria.perez@yahoo.com,CO,M,S,PRD-071,SKU-ELE-071,Producto Audio 71,Electronica,Audio,78.61,8,155.07,1240.56,Tarjeta
TRX-102554,20260210,20260213,CLI-0101,Fernando Maria,Cruz Gomez,fernandocruz@gmail.com,,M,C,PRD-072,SKU-DEP-072,Producto Calzado 72,Deporte,Calzado,107.98,14,230.71,3229.94,Tarjeta
TRX-109666,20250711,20250717,CLI-0419,Maria Rosa,Martinez Cruz,mariamartinez@hotmail.com,Espana,n/a,Soltero,PRD-069,SKU-DEP-069,Producto Ropa 69,Deporte,Ropa,119.02,-2,156.35,-312.7,Paypal
TRX-107339,20260126,20260130,CLI-0492,Sofia Daniel,Rodriguez Alvarez,sofiarodriguez86@empresa.com,MX,M,S,PRD-049,SKU-DEP-049,Producto Ropa 49,Deporte,Ropa,188.34,6,245.55,1473.3,Paypal
TRX-100267,20251214,20251218,CLI-0565,Sofia Javier,Romero Lopez,sromero@outlook.com,USA,M,S,PRD-032,SKU-ELE-032,Producto Smartphones 32,Electronica,Smartphones,47.74,1,89.08,89.08,Efectivo
TRX-107217,20250130,20250205,CLI-0076,Jorge Carmen,Torres Romero,jorgetorres83@hotmail.com,Estados Unidos,n/a,Casado,PRD-042,SKU-ELE-042,Producto Smartphones 42,Electronica,Smartphones,154.3,4,355.51,1422.04,Tarjeta
TRX-103220,12/08/2025,20250818,CLI-0310,Rosa,Cruz Torres,rosacruz95@empresa.com,,Female,Soltero,PRD-015,SKU-HOG-015,Producto Decoracion 15,Hogar,Decoracion,119.15,7,152.56,1067.92,Paypal
TRX-108708,20250324,20250326,CLI-0263,Ana Lucia,Alvarez Sanchez,anaalvarez96@outlook.com,MX,M,C,PRD-014,SKU-ELE-014,Producto Laptops 14,Electronica,Laptops,43.1,12,69.74,0.0,Paypal
TRX-107600,20260608,20260612,CLI-0287,Sofia,Sanchez Suarez,sofia.sanchez@empresa.com,,F,Casado,PRD-079,SKU-DEP-079,Producto Calzado 79,Deporte,Calzado,45.71,-2,96.88,-193.76,Tarjeta
TRX-106755,20260224,20260228,CLI-0383,Carmen,Gomez Martinez,cgomez@outlook.com,Espana,Female,S,PRD-055,SKU-DEP-055,Producto Ropa 55,Deporte,Ropa,46.55,4,100.82,403.28,Transferencia
TRX-102568,20250913,20250918,CLI-0278,Diego Laura,Garcia Vargas,dgarcia@outlook.com,ES,Female,Casado,PRD-080,SKU-ELE-080,Producto Smartphones 80,Electronica,Smartphones,180.62,1,410.34,410.34,Paypal
TRX-109390,20260327,20260329,CLI-0457,Laura,Rodriguez Torres,laurarodriguez74@gmail.com,Espana,Female,Casado,PRD-004,SKU-DEP-004,Producto Calzado 4,Deporte,Calzado,181.83,11,334.07,3674.77,Efectivo
TRX-107732,20260301,20260307,CLI-0542,Luis,Suarez Garcia,luis.suarez@yahoo.com,ES,n/a,Casado,PRD-050,SKU-HOG-050,Producto Decoracion 50,Hogar,Decoracion,130.41,11,248.64,2735.04,Transferencia
TRX-100857,20250731,20250809,CLI-0218,Diego Alejandro,Martinez Lopez,diegomartinez70@gmail.com,,Female,Casado,PRD-019,SKU-HOG-019,Producto Decoracion 19,Hogar,Decoracion,127.71,8,167.7,0.0,Transferencia
TRX-108574,20260424,20260503,CLI-0485,Elena Carmen,Ramirez Diaz,elenaramirez73@hotmail.com,US,Female,Soltero,PRD-037,SKU-ELE-037,Producto Laptops 37,Electronica,Laptops,77.16,13,144.12,1873.56,Efectivo
TRX-100096,20260421,20260422,CLI-0570,Miguel Elena,Rodriguez Sanchez,miguelrodriguez@empresa.com,ES,F,Casado,PRD-047,SKU-HOG-047,Producto Iluminacion 47,Hogar,Iluminacion,190.85,4,300.64,1202.56,Transferencia
TRX-102822,11/01/2025,20250121,CLI-0007,Daniel Sofia,Martinez Flores,danielmartinez95@gmail.com,Estados Unidos,F,C,PRD-035,SKU-HOG-035,Producto Muebles 35,Hogar,Muebles,158.66,8,277.48,2219.84,Paypal
TRX-101588,20251104,20251106,CLI-0233,Ana,Suarez Torres,anasuarez70@empresa.com,MX,n/a,S,PRD-019,SKU-HOG-019,Producto Decoracion 19,Hogar,Decoracion,127.71,5,286.52,1432.6,Tarjeta
TRX-101227,0,,CLI-0426,Lucia Jorge,Sanchez Martinez,lucia.sanchez@yahoo.com,,Female,C,PRD-012,SKU-HOG-012,Producto Muebles 12,Hogar,Muebles,14.17,10,30.25,302.5,Transferencia
TRX-109877,20250126,20250205,CLI-0276,Carlos,Lopez Romero,carloslopez@yahoo.com,MX,M,Casado,PRD-021,SKU-HOG-021,Producto Iluminacion 21,Hogar,Iluminacion,12.73,13,27.7,360.1,Transferencia
TRX-100248,20260725,20260726,CLI-0259,Diego Juan,Cruz Perez,diegocruz@gmail.com,USA,Male,Casado,PRD-059,SKU-ELE-059,Producto Audio 59,Electronica,Audio,21.84,4,40.77,163.08,Tarjeta
TRX-101791,20250325,20250331,CLI-0569,Javier Ana,Torres Diaz,javier.torres@outlook.com,US,F,S,PRD-021,SKU-HOG-021,Producto Iluminacion 21,Hogar,Iluminacion,12.73,5,16.26,81.3,Paypal
TRX-101610,0,,CLI-0597,Sofia,Alvarez Garcia,sofiaalvarez79@empresa.com,Colombia,F,S,PRD-011,SKU-DEP-011,Producto Calzado 11,Deporte,Calzado,87.8,12,125.71,1508.52,Transferencia
TRX-105008,20251021,20251028,CLI-0028,Rosa Fernando,Ramirez Romero,rosaramirez70@outlook.com,,n/a,C,PRD-024,SKU-DEP-024,Producto Ropa 24,Deporte,Ropa,57.74,2,71.53,143.06,Efectivo
TRX-101149,20250410,20250418,CLI-0064,Daniel,Ramirez Alvarez,daniel.ramirez@outlook.com,CO,Male,Casado,PRD-011,SKU-DEP-011,Producto Calzado 11,Deporte,Calzado,87.8,11,207.58,2283.38,Paypal
TRX-105511,20260427,20260504,CLI-0570,Miguel Elena,Rodriguez Sanchez,miguelrodriguez@empresa.com,ES,F,Casado,PRD-062,SKU-HOG-062,Producto Muebles 62,Hogar,Muebles,13.56,8,31.22,249.76,Efectivo
TRX-105623,20250509,20250512,CLI-0245,Sofia Maria,Lopez Diaz,sofialopez@outlook.com,USA,Male,S,PRD-053,SKU-ELE-053,Producto Smartphones 53,Electronica,Smartphones,151.32,11,316.13,3477.43,Paypal
TRX-105094,12/05/2025,20250521,CLI-0033,Fernando,Perez Martinez,fernando.perez@hotmail.com,CO,M,Soltero,PRD-037,SKU-ELE-037,Producto Laptops 37,Electronica,Laptops,77.16,14,187.06,2618.84,Transferencia
TRX-109900,20260707,20260713,CLI-0053,Marta,Garcia Ramirez,marta.garcia@yahoo.com,USA,Female,Soltero,PRD-058,SKU-DEP-058,Producto Calzado 58,Deporte,Calzado,91.03,8,162.18,1297.44,Tarjeta
TRX-108427,20250326,20250328,CLI-0547,Marta,Vargas Sanchez,martavargas@gmail.com,Mexico,M,S,PRD-051,SKU-HOG-051,Producto Muebles 51,Hogar,Muebles,52.95,3,70.22,210.66,Tarjeta
TRX-108060,28/01/2025,20250204,CLI-0287,Sofia,Sanchez Suarez,sofia.sanchez@empresa.com,,F,Casado,PRD-067,SKU-ELE-067,Producto Audio 67,Electronica,Audio,19.97,3,37.47,112.41,Efectivo
TRX-105824,20260813,20260821,CLI-0224,Javier Alejandro,Suarez Torres,javiersuarez@gmail.com,Mexico,n/a,Soltero,PRD-023,SKU-ELE-023,Producto Laptops 23,Electronica,Laptops,136.95,4,198.75,795.0,Tarjeta
TRX-104900,20250415,20250418,CLI-0118,Diego Rosa,Diaz Romero,diegodiaz85@yahoo.com,Espana,n/a,Soltero,PRD-074,SKU-DEP-074,Producto Accesorios 74,Deporte,Accesorios,195.28,14,337.32,4722.48,Efectivo
TRX-109490,20260430,20260508,CLI-0069,Lucia Carmen,Gonzalez Ruiz,luciagonzalez@yahoo.com,Mexico,Female,S,PRD-009,SKU-DEP-009,Producto Calzado 9,Deporte,Calzado,129.82,2,196.55,393.1,Tarjeta
TRX-106765,0,,CLI-0410,Luis Maria,Suarez Martinez,lsuarez@empresa.com,ES,Male,S,PRD-014,SKU-ELE-014,Producto Laptops 14,Electronica,Laptops,43.1,11,88.49,973.39,Tarjeta
TRX-106159,20251204,20251207,CLI-0544,Maria Lucia,Garcia Ramirez,mgarcia@hotmail.com,Colombia,M,Casado,PRD-058,SKU-DEP-058,Producto Calzado 58,Deporte,Calzado,91.03,8,122.13,977.04,Tarjeta
TRX-102294,21/04/2025,20250422,CLI-0072,Carlos Lucia,Martinez Diaz,carlosmartinez76@outlook.com,US,F,Soltero,PRD-007,SKU-HOG-007,Producto Muebles 7,Hogar,Muebles,82.18,9,135.67,1221.03,Transferencia
TRX-105939,20250223,20250228,CLI-0595,Rosa Jorge,Gomez Romero,rosagomez@hotmail.com,MX,Female,S,PRD-020,SKU-HOG-020,Producto Decoracion 20,Hogar,Decoracion,154.0,10,351.21,3512.1,Efectivo
TRX-105121,20251026,20251101,CLI-0572,Carlos,Cruz Suarez,carlos.cruz@empresa.com,MX,Female,Casado,PRD-041,SKU-DEP-041,Producto Accesorios 41,Deporte,Accesorios,15.85,5,22.97,114.85,Transferencia
TRX-104247,20250620,20250621,CLI-0434,Javier Lucia,Alvarez Diaz,javier.alvarez@yahoo.com,Colombia,n/a,Soltero,PRD-044,SKU-DEP-044,Producto Accesorios 44,Deporte,Accesorios,90.05,5,169.94,849.7,Transferencia
TRX-106434,20250802,20250804,CLI-0123,Carmen Rosa,Rodriguez Suarez,crodriguez@yahoo.com,USA,Female,C,PRD-021,SKU-HOG-021,Producto Iluminacion 21,Hogar,Iluminacion,12.73,4,27.61,110.44,Transferencia
TRX-104322,20250914,20250919,CLI-0525,Elena,Lopez Sanchez,elopez@empresa.com,CO,Female,S,PRD-023,SKU-ELE-023,Producto Laptops 23,Electronica,Laptops,136.95,13,268.28,3487.64,Tarjeta
TRX-103144,07/05/2026,20260508,CLI-0356,Laura Sofia,Diaz Gonzalez,ldiaz@empresa.com,,M,Casado,PRD-079,SKU-DEP-079,Producto Calzado 79,Deporte,Calzado,45.71,8,80.17,641.36,Tarjeta
TRX-104560,20250919,20250927,CLI-0036,Carlos Carmen,Ramirez Alvarez,carlos.ramirez@empresa.com,Estados Unidos,Male,S,PRD-043,SKU-DEP-043,Producto Accesorios 43,Deporte,Accesorios,80.2,4,109.32,437.28,Efectivo
TRX-101433,20250823,20250825,CLI-0477,Juan,Garcia Sanchez,juangarcia80@hotmail.com,,Female,Soltero,PRD-064,SKU-HOG-064,Producto Decoracion 64,Hogar,Decoracion,107.81,5,182.35,911.75,Paypal
TRX-106156,20260401,20260406,CLI-0431,Alejandro,Martinez Vargas,alejandro.martinez@outlook.com,Estados Unidos,F,Soltero,PRD-072,SKU-DEP-072,Producto Calzado 72,Deporte,Calzado,107.98,7,267.15,1870.05,Transferencia
TRX-106867,20251203,20251208,CLI-0247,Carmen Jorge,Rodriguez Lopez,carmenrodriguez81@gmail.com,Espana,Male,S,PRD-042,SKU-ELE-042,Producto Smartphones 42,Electronica,Smartphones,154.3,4,231.37,925.48,Paypal
TRX-104445,20260406,20260413,CLI-0193,Sofia,Ruiz Flores,sofia.ruiz@empresa.com,ES,F,C,PRD-063,SKU-ELE-063,Producto Audio 63,Electronica,Audio,145.22,11,351.33,3864.63,Tarjeta
TRX-102136,20250621,20250624,CLI-0058,Rosa,Rodriguez Gomez,rosarodriguez73@yahoo.com,Espana,n/a,C,PRD-014,SKU-ELE-014,Producto Laptops 14,Electronica,Laptops,43.1,9,78.18,703.62,Paypal
TRX-102652,20250906,20250913,CLI-0490,Javier,Perez Lopez,javierperez99@hotmail.com,Mexico,Male,Soltero,PRD-034,SKU-DEP-034,Producto Ropa 34,Deporte,Ropa,108.5,5,264.64,1323.2,Efectivo
TRX-107395,20251228,20251229,CLI-0195,Alejandro,Lopez Flores,alejandrolopez@yahoo.com,MX,Female,Soltero,PRD-044,SKU-DEP-044,Producto Accesorios 44,Deporte,Accesorios,90.05,8,159.48,1275.84,Efectivo
TRX-101475,21/03/2026,20260328,CLI-0388,Daniel Maria,Flores Rodriguez,daniel.flores@yahoo.com,Estados Unidos,M,S,PRD-034,SKU-DEP-034,Producto Ropa 34,Deporte,Ropa,108.5,5,131.65,658.25,Tarjeta
TRX-102716,20250402,20250404,CLI-0537,Ana Laura,Lopez Garcia,analopez@gmail.com,Espana,Female,Casado,PRD-024,SKU-DEP-024,Producto Ropa 24,Deporte,Ropa,57.74,8,136.12,1088.96,Efectivo
TRX-104555,18/07/2026,20260726,CLI-0129,Lucia,Gomez Perez,luciagomez87@hotmail.com,ES,M,C,PRD-057,SKU-HOG-057,Producto Iluminacion 57,Hogar,Iluminacion,36.11,7,53.21,372.47,Paypal
TRX-108057,20251214,20251222,CLI-0097,Carmen,Vargas Ramirez,carmenvargas88@outlook.com,US,F,Soltero,PRD-003,SKU-DEP-003,Producto Ropa 3,Deporte,Ropa,71.68,6,144.04,864.24,Transferencia
